2026-04-25T10:34:48.429581 | WARNING | gas | 0.65
2026-04-25T10:34:50.431179 | WARNING | gas | 0.652
2026-04-25T10:34:52.432582 | WARNING | gas | 0.576
2026-04-25T10:34:54.433667 | WARNING | co2 | 646.81
2026-04-25T10:34:54.433667 | WARNING | gas | 0.675
2026-04-25T10:34:56.434832 | WARNING | gas | 0.602
2026-04-25T10:34:58.435690 | WARNING | gas | 0.654
2026-04-25T10:35:00.436812 | WARNING | gas | 0.605
2026-04-25T10:35:02.438000 | WARNING | gas | 0.614
2026-04-25T10:35:04.439619 | WARNING | gas | 0.626
2026-04-25T10:35:06.441520 | WARNING | gas | 0.631
2026-04-25T10:35:08.443240 | WARNING | gas | 0.649
2026-04-25T10:35:10.444189 | WARNING | gas | 0.591
2026-04-25T10:35:12.445712 | CRITICAL | co2 | 1099.14
2026-04-25T10:35:12.445712 | CRITICAL | temperature | 77.88
2026-04-25T10:35:12.445712 | CRITICAL | gas | 1.0
2026-04-25T10:35:14.447319 | WARNING | gas | 0.645
2026-04-25T10:35:16.448753 | WARNING | gas | 0.614
2026-04-25T10:35:18.450136 | WARNING | gas | 0.636
2026-04-25T10:35:20.451641 | WARNING | gas | 0.649
2026-04-25T10:35:22.453206 | WARNING | gas | 0.623
2026-04-25T10:35:24.455020 | WARNING | gas | 0.629
2026-04-25T10:35:26.456293 | WARNING | co2 | 641.09
2026-04-25T10:35:26.456293 | WARNING | gas | 0.6
2026-04-25T10:35:28.457877 | WARNING | gas | 0.614
2026-04-25T10:35:30.459393 | WARNING | co2 | 648.81
2026-04-25T10:35:30.459393 | WARNING | gas | 0.645
2026-04-25T10:35:32.460593 | WARNING | gas | 0.606
2026-04-25T10:35:34.462565 | WARNING | gas | 0.623
2026-04-25T10:35:36.463861 | WARNING | gas | 0.663
2026-04-25T10:35:38.464989 | WARNING | gas | 0.665
2026-04-25T10:35:40.466463 | WARNING | gas | 0.671
2026-04-25T10:35:42.467574 | WARNING | co2 | 651.73
2026-04-25T10:35:42.467574 | WARNING | gas | 0.612
2026-04-25T10:35:44.468997 | WARNING | gas | 0.609
2026-04-25T10:35:46.471034 | WARNING | gas | 0.688
2026-04-25T10:35:48.472601 | WARNING | gas | 0.686
2026-04-25T10:35:50.474397 | WARNING | gas | 0.624
2026-04-25T10:35:52.476031 | WARNING | gas | 0.61
2026-04-25T10:35:54.477149 | WARNING | gas | 0.63
2026-04-25T10:35:56.479747 | WARNING | gas | 0.595
2026-04-25T10:35:58.483713 | WARNING | gas | 0.637
2026-04-25T10:36:00.485062 | WARNING | gas | 0.609
2026-04-25T10:36:02.486044 | WARNING | gas | 0.599
2026-04-25T10:36:04.487392 | WARNING | gas | 0.658
2026-04-25T10:36:06.488468 | WARNING | co2 | 646.07
2026-04-25T10:36:06.488468 | WARNING | gas | 0.652
2026-04-25T10:36:08.489787 | WARNING | gas | 0.638
2026-04-25T10:36:10.491648 | WARNING | co2 | 658.48
2026-04-25T10:36:10.491648 | WARNING | gas | 0.625
2026-04-25T10:36:12.492934 | WARNING | gas | 0.62
2026-04-25T10:36:14.494472 | WARNING | co2 | 649.53
2026-04-25T10:36:14.494472 | WARNING | gas | 0.648
2026-04-25T10:36:16.495890 | WARNING | gas | 0.645
2026-04-25T10:36:18.496951 | WARNING | gas | 0.646
2026-04-25T10:36:20.498288 | WARNING | gas | 0.644
2026-04-25T10:36:22.499914 | WARNING | gas | 0.623
2026-04-25T10:36:24.501233 | WARNING | gas | 0.624
2026-04-25T10:36:26.503081 | WARNING | gas | 0.579
2026-04-25T10:36:28.507148 | CRITICAL | gas | 0.71
2026-04-25T10:36:30.508659 | WARNING | gas | 0.643
2026-04-25T10:36:32.509769 | WARNING | gas | 0.649
2026-04-25T10:36:34.510916 | WARNING | gas | 0.637
2026-04-25T10:36:36.511976 | WARNING | gas | 0.698
2026-04-25T10:36:38.513100 | WARNING | gas | 0.605
2026-04-25T10:36:40.514018 | WARNING | gas | 0.62
2026-04-25T10:36:42.515597 | WARNING | gas | 0.641
2026-04-25T10:36:44.516944 | WARNING | gas | 0.631
2026-04-25T10:36:46.518019 | WARNING | gas | 0.652
2026-04-25T10:36:48.519183 | WARNING | gas | 0.613
2026-04-25T10:36:50.520437 | WARNING | gas | 0.635
2026-04-25T10:36:52.522156 | WARNING | gas | 0.62
2026-04-25T10:36:54.523666 | WARNING | gas | 0.59
2026-04-25T10:36:56.525313 | CRITICAL | co2 | 942.9
2026-04-25T10:36:56.525313 | CRITICAL | temperature | 70.57
2026-04-25T10:36:56.525313 | CRITICAL | gas | 1.0
2026-04-25T10:36:58.526096 | WARNING | gas | 0.601
2026-04-25T10:37:00.527091 | CRITICAL | co2 | 980.28
2026-04-25T10:37:00.527091 | CRITICAL | temperature | 81.44
2026-04-25T10:37:00.527091 | CRITICAL | gas | 1.0
2026-04-25T10:37:02.528914 | WARNING | gas | 0.568
